id,value,value,value,value,value
id_34,30.48028047,27.75853224,27.69327021,27.80330703,28.69841553
id_35,38.46393075,37.21036861,37.23329652,37.71730519,37.62097166
id_36,44.20231061,43.23824007,43.26696375,42.89628022,43.07299033
id_37,30.08683602,29.82421103,29.76168662,30.70368615,30.85229982
id_38,40.47367502,42.21136479,42.09561351,42.48150399,42.22786253
id_39,29.2264799,35.14271688,35.23026276,34.79807708,34.92387827
id_40,5.606456054,7.579979265,7.650872184,8.239244095,8.184338168
id_41,38.66601608,41.21121779,41.19154706,39.77711741,39.32719764
id_42,34.61021343,30.57444942,30.52685719,31.84970375,32.77124491
id_43,48.38969751,50.96258689,51.00262954,50.77699178,51.10324015
id_44,14.75724767,17.51745723,17.4971468,16.04837717,15.92902622
id_45,34.46682011,35.37560475,35.41836556,36.54658339,36.64908748
id_46,27.48310687,24.62921057,24.63955385,24.05405018,23.71305505
id_47,12.00087938,9.633646123,9.64272557,10.16598557,9.921776995
id_48,21.37803615,26.7957926,26.73473339,25.42480933,25.11013465
id_49,28.54440309,32.26692617,32.28131937,32.90691287,32.53307553
id_50,20.16551382,20.13866139,20.18340236,18.43697115,19.35888958
id_51,10.79667815,7.969704497,7.926795638,9.020780686,8.913911901
id_52,22.17103576,20.59178881,20.54455186,22.60111612,24.05153809
id_53,53.44626311,52.68252243,52.64472847,52.96873365,53.34708016
id_54,12.21958112,15.97596487,15.94695303,15.4077332,15.34083258
id_55,43.30096846,36.47878145,36.39204117,35.66259229,35.57007995
id_56,32.1823351,32.85279671,32.93821952,32.81523046,32.51958795
id_57,22.56721751,20.78764186,20.74469926,21.63606678,21.57260005
id_58,56.73951417,57.40875122,57.39015102,57.24909918,57.92231888
id_59,20.74505295,22.77970504,22.77866548,23.39343285,23.52616828
id_60,15.02885456,14.31866373,14.31194323,13.4033122,13.61701652
id_61,39.85530159,41.74871083,41.77306143,42.56056094,42.47978998
id_62,12.97534068,12.58718691,12.63926385,13.15360218,13.02823622
id_63,51.74165959,48.40816745,48.44903016,49.60147647,50.18367792
id_64,18.78336963,14.17235191,14.17575666,15.07097878,15.30445613
id_65,12.34875284,15.15512144,15.09955054,15.97787581,16.40922305
id_66,15.63362365,14.42593275,14.45596213,15.76805399,16.75584543
id_67,-0.058871471,-1.002009765,-1.004740854,0.816349774,0.740358968
id_68,41.50801107,43.81817681,43.82530997,42.57765631,42.65506911
id_69,31.54874753,29.11978991,29.09089678,29.67388185,30.49503338
id_70,18.60425116,20.22026074,20.27324161,21.69466965,21.7610903
id_71,37.47681972,41.7687321,41.74188363,41.1248386,40.47548865
id_72,56.52039066,60.86968252,60.70285373,60.22115711,60.87659692
id_73,6.587877194,5.5236141,5.549101201,5.404504608,4.946126472
id_74,12.22933974,16.52633537,16.49979085,16.97963564,16.78925168
id_75,5.203696404,3.429197337,3.399264748,3.516167179,3.571270919
id_76,47.9273751,40.3624291,40.34229521,37.86921286,38.70326641
id_77,13.02070569,13.96777316,14.05718198,13.19671634,13.87396411
id_78,17.11030169,21.57527455,21.60908159,22.52435405,23.29179581
id_79,20.60323453,21.02360594,21.0020334,20.99479427,21.11421757
id_80,21.28448156,23.91851841,23.89434251,23.5528521,23.69416577
id_81,38.69293529,36.11220358,36.09649543,36.37244363,36.74483702
id_82,30.02071668,21.85468119,21.84061496,20.87998101,20.9364824
id_83,88.76740667,92.56392347,92.55452599,93.69453189,92.36862498
id_84,35.98470024,37.2916884,37.30370627,36.56125419,36.70577819
id_85,26.75691355,27.83289636,27.88015876,26.8125149,27.45730538
id_86,23.96351684,22.03195562,22.0224458,20.75245246,21.03034712
id_87,32.74724283,33.65938322,33.62709657,33.07677867,32.61064095
id_88,22.18904376,23.2756612,23.28486583,22.90886915,23.00219007
id_89,20.99215885,19.80008822,19.77833962,20.40572528,20.19940742
id_90,29.55599432,28.99290265,28.87160151,29.12703398,28.9183595
id_91,40.99216887,41.58952788,41.54700169,41.57158095,41.20832499
id_92,8.62511781,4.711972734,4.774952441,4.935045647,4.772091604
id_93,32.32147181,38.80867178,38.69841163,39.10313413,38.80204696
id_94,46.59804437,45.86847583,45.83435538,46.28130055,46.21959329
id_95,22.88407083,16.48634538,16.50178203,17.27085885,17.01017522
id_96,31.51812973,31.61819325,31.55499617,31.8731098,32.14036574
id_97,11.19823348,12.97223091,12.98694946,13.0104658,13.21278408
id_98,28.52743664,23.44358584,23.36563018,23.3561254,23.36177927
id_99,0.29115068,4.526702244,4.542251283,4.041990162,4.298834013
id_100,17.96696108,18.1058864,18.14095053,18.82230209,18.69094975
id_101,27.12416393,26.37777975,26.38413335,27.04425496,27.58250118
id_102,11.39823278,14.05228093,14.0717605,16.55450301,16.57549895
id_103,16.42642687,15.8466885,15.8652485,16.24873463,16.59637247
id_104,23.42526105,23.91378754,23.92373687,22.56625669,23.20983512
id_105,40.61608267,39.73490446,39.75178557,38.71717371,38.47218604
id_106,25.86412503,31.56939912,31.53239376,30.52938399,31.23496427
id_107,5.422736952,6.377735104,6.291391014,7.534891179,7.151877757
id_108,10.79492112,6.083263786,6.080599066,6.318269867,6.595188316
id_109,72.86213693,78.56980636,78.56272936,79.14657888,78.62127965
id_110,48.02283706,47.95344619,48.01531895,46.62463486,46.06251728
id_111,15.74680828,16.99447557,17.06503387,16.36423572,16.26728915
id_112,24.67041061,27.79630978,27.73567581,27.64602668,27.9296055
id_113,12.82779333,15.3029766,15.24503551,15.12407687,15.81551187
id_114,10.15805757,13.74193709,13.73795811,13.09955979,13.09990795
id_115,27.26922334,24.89559302,24.89335575,25.12864096,25.39431971
id_116,29.20873858,26.54274147,26.58374276,26.98305523,26.93562808
id_117,8.83533962,10.52998441,10.51592466,8.886345979,8.890776599
id_118,20.05108814,18.11786929,18.24675341,17.89954645,17.09503474
id_119,20.21233374,19.45029438,19.51234365,18.98672197,19.07533952
id_120,79.9060093,80.55001649,80.53003168,81.46149411,81.59721193
id_121,18.06161429,25.50859216,25.48079521,23.85468523,23.81515644
id_122,30.54280934,37.29814306,37.29176595,34.98374421,34.24552906
id_123,25.98079238,25.16218228,25.29933977,24.57377192,24.80828287
id_124,5.212577268,7.421006518,7.417082436,7.517780325,7.10617593
id_125,30.35569731,38.58088728,38.65255073,39.00014832,39.87337112
id_126,7.768322889,9.255581072,9.247732967,8.695438607,9.30704009
id_127,15.32826826,21.94505069,21.93747785,22.46494105,21.80189585
id_128,22.66636572,29.07061352,29.12006492,29.77095128,30.03482982
id_129,62.74205421,62.82435755,62.84466049,61.63627259,61.95281321
id_130,18.95078037,21.83325987,21.88933494,21.77736352,21.74330723
id_131,19.07635563,23.22526939,23.32152522,24.20170945,24.19653692
id_132,61.37157409,59.08404417,59.05833736,58.22612093,58.36709492
id_133,15.88456205,15.28576606,15.26430232,15.13830044,15.06031311
id_134,13.40941808,14.18374231,14.16081539,13.0329072,12.82257489
id_135,0.848772484,2.728626826,2.692737475,1.981085644,2.134930505
id_136,7.834996717,12.47864098,12.51182145,13.08768524,12.84620349
id_137,57.01282901,58.67467161,58.67826246,58.23850389,58.24839537
id_138,25.60799675,20.29043066,20.35653275,20.01371322,19.5813646
id_139,4.961704729,5.337891181,5.35002981,5.911587314,5.768300621
id_140,36.41487904,29.01314496,29.0154568,28.06778259,27.76645623
id_141,28.79000672,25.35122234,25.34133102,25.42083725,25.26284421
id_142,49.19412096,45.27194507,45.29545692,44.46438902,43.87029475
id_143,40.30686986,30.74078683,30.75244116,29.79880618,30.13787472
id_144,13.31618059,18.34875731,18.33300708,18.00279915,17.63991953
id_145,27.66101188,26.0265945,26.027442,26.09620226,26.16032776
id_146,17.15802752,11.99903398,12.01443887,11.04810332,11.07668485
id_147,49.68726257,51.84649817,51.89903775,50.85626976,51.16051327
id_148,23.03027229,23.56711968,23.49385571,23.35027644,23.02282365
id_149,39.24093652,38.40165117,38.48214989,39.54088038,39.34531273
id_150,13.19675389,10.19342929,10.18047247,10.90132506,10.99945449
id_151,5.948893701,8.107591915,8.140153375,7.617455981,7.610777222
id_152,25.82160898,23.52097533,23.44359019,24.58819124,25.14934952
id_153,8.258634214,6.415382172,6.402761862,6.771301278,6.429624055
id_154,19.14632052,15.03311443,15.00727342,15.47528749,15.43595242
id_155,43.18248653,41.09099692,41.05955923,40.74772546,40.64083731
id_156,6.717843578,7.771274566,7.766266353,8.362782499,8.332847134
id_157,33.86961525,36.25556465,36.21689857,37.71700189,37.47789792
id_158,15.36993785,11.0352885,11.08891934,10.33444883,11.28360615
id_159,16.93904497,18.7479967,18.89437183,18.32833962,19.01354852
id_160,37.88533679,41.51411702,41.55867153,41.54366975,42.08270742
id_161,19.20248454,19.34554535,19.35150644,18.56293583,18.63489905
id_162,9.059504716,13.27311616,13.27892294,14.09995857,14.14584296
id_163,10.28339961,7.841055851,7.953892364,7.491906639,7.599137241
id_164,48.67244713,52.66090635,52.67285445,51.44839487,52.24885817
id_165,30.58771621,31.20290318,31.2306572,29.88677323,29.71661276
id_166,2.477409898,-0.412999633,-0.398121301,2.862944383,2.977986595
id_167,12.81160394,16.30044945,16.28549811,15.8589421,16.10322465
id_168,70.32478981,63.67480372,63.66386159,64.0296428,64.38713771
id_169,14.84096769,14.20491841,14.09816317,12.81040479,12.66110401
id_170,68.86558757,63.7290662,63.65768149,63.45844615,63.68366668
id_171,42.74199244,39.04859041,39.11464258,38.1504375,38.90966206
id_172,24.00026154,26.97468789,26.98420047,26.56753959,26.57392282
id_173,23.42072486,20.37783377,20.35765267,19.00722238,19.24020574
id_174,61.67212444,61.12890568,61.15969282,62.07832685,62.74678064
id_175,25.49420285,25.0403852,25.03946555,24.92346655,24.81560276
id_176,19.00480979,20.99395356,20.99471679,19.94494265,19.91679454
id_177,34.88668288,37.61986955,37.52263039,38.99592965,38.72569482
id_178,9.402313398,12.56112362,12.50438616,11.96593539,12.0569105
id_179,29.52001131,31.17165928,31.19918527,31.14009633,30.71911742
id_180,14.57396589,16.74618196,16.78019751,17.29449939,17.56452473
id_181,9.125563143,11.79099121,11.76190881,12.78390908,12.45626649
id_182,52.812584,55.77449557,55.75908112,55.02557614,54.49098513
id_183,45.03953799,46.46897815,46.41749458,47.12632666,46.45631998
id_184,17.45243468,15.66133135,15.67333108,15.95941263,16.11981907
id_185,38.49393528,35.20736362,35.23235655,35.22537784,34.73338357
id_186,27.03891909,26.2515688,26.24146929,26.56637962,26.56574055
id_187,65.58170967,69.38509554,69.0679996,72.07482751,71.81362502
id_188,7.037306381,10.01355174,10.00074142,9.708595328,9.89686064
id_189,52.71447713,57.94934619,57.91612946,57.53482894,58.73013447
id_190,38.20645934,38.37270576,38.3040584,38.41369895,38.43519285
id_191,21.16980106,15.46558433,15.46637225,15.02308847,14.1903082
id_192,30.24755688,29.11388,29.0894277,29.02883022,28.87949002
id_193,2.71442299,0.199645414,0.181295613,1.780396686,1.617218377
id_194,19.93293259,19.19548223,19.14663177,18.79488272,18.79757268
id_195,-3.413332338,0.889104621,0.902622868,0.909492037,1.184738943
id_196,32.4459994,33.79681588,33.77762553,33.94617732,33.95890368
id_197,10.58297303,10.48165267,10.47534476,11.69056339,11.53444132
id_198,21.77522571,18.94272633,18.93464003,18.87841385,18.84823329
id_199,62.46529207,60.1740601,60.12839577,61.19336123,61.94814495
id_200,24.13294369,24.97447387,25.03548716,24.11769169,24.52126858
id_201,26.20123965,25.58976145,25.59214923,25.7715449,25.90346616
id_202,63.74447723,64.58953905,64.56471536,65.09278605,65.74038756
id_203,2.834297774,10.55109653,10.48635436,11.35147353,11.87856158
id_204,14.37924699,9.196557429,9.200809776,8.777086432,8.58637786
id_205,9.369850732,11.28511394,11.26953833,11.13550871,11.15804194
id_206,9.881166614,7.244349999,7.273912194,7.548405648,7.484020468
id_207,3.494945359,1.669642469,1.678513673,1.263843851,1.484079075
id_208,122.6080494,124.0613668,124.0887803,124.251545,123.7288091
id_209,21.08351301,20.69860986,20.72025746,20.42471142,20.52480625
id_210,17.5322206,16.26135946,16.31630251,15.54595992,14.93596858
id_211,20.18309834,13.821211,13.86631957,14.24582499,14.28862383
id_212,36.39313221,36.34580389,36.32942115,37.23002568,36.68249322
id_213,34.93515121,35.95610047,35.94292192,35.89442192,35.93127232
id_214,18.83031266,18.89590211,18.92058426,20.09057824,20.65676445
id_215,38.34455552,34.85986451,34.90867585,35.04552117,34.70816674
id_216,77.91663414,78.59999347,78.6018343,78.51480486,78.88259544
id_217,1.795323551,0.495289996,0.499862707,0.658287838,0.857971831
id_218,13.44582794,12.89882199,12.92200882,12.45107543,12.63626904
id_219,36.13115559,31.79763801,31.77513809,31.94476364,32.56923941
id_220,15.1504035,14.95007102,14.93735315,15.11599335,15.57017776
id_221,12.94184833,12.71744983,12.76629175,12.5690936,12.32908501
id_222,113.1252409,113.3175148,113.3127372,114.5790421,115.8757029
id_223,15.22460468,12.9672703,12.96850074,12.52678916,12.39609464
id_224,14.82402597,16.39404191,16.40649068,16.49057657,16.84958488
id_225,59.26735369,64.0694697,64.15262418,64.60620198,64.57206203
id_226,10.58369529,16.04520117,16.05878375,16.33609907,16.08353468
id_227,20.99306256,19.61020283,19.60816564,17.84936936,17.93829293
id_228,9.789365881,10.19656308,10.15598417,9.747010284,10.1451565
id_229,4.771180009,3.689383811,3.684161525,6.566749118,7.143305274
id_230,47.9278069,46.26186037,46.30754771,44.38155774,44.33867352
id_231,12.39943839,12.72574116,12.6651081,12.08279154,12.73809529
id_232,48.14647656,54.00351643,53.92265246,54.40257873,53.83200504
id_233,40.4663804,42.57008339,42.51000724,42.48027435,43.13153429
id_234,16.94059027,25.31532795,25.40350153,25.98015028,25.52338486
id_235,41.26654449,41.06889512,40.96172988,42.4421399,42.68546525
id_236,69.02789203,69.05741433,69.06075279,68.91285268,69.04029141
id_237,40.34624924,42.10732555,42.16735015,43.67129132,43.45425678
id_238,14.31374398,11.13681126,11.1315163,11.0073315,11.06504043
id_239,15.77072663,18.26516384,18.28709431,17.34144232,17.21410595
